raw_name	query_name	is_control	cid	title	isomeric_smiles	canonical_smiles	inchikey	status	error	source	retrieved_utc
CHX	Desipramine hydrochloride	False	65327	Desipramine Hydrochloride	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	XAEWZDYWZHIUCT-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:22.309000+00:00
Cisplatin	Doxycycline hyclate	False	54705095	Doxycycline hyclate	CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl	CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl	DWBSXBGBGHKWOT-WBYAVNBMSA-N	resolved		PubChem PUG REST (exact formulation)	2026-08-13T13:21:00+00:00
Clomiphene citrate	Dyclonine hydrochloride	False	68304	Dyclonine Hydrochloride	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl	KNZADIMHVBBPOA-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:22.355010+00:00
Clotrimazole	EDTA	False	6049	Ethylenediaminetetraacetic Acid	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	KCXVZYZYPLLWCC-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:22.434961+00:00
Cyclopiazonic acid	Emodin	False	3220	Emodin	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	RHMXXJGYXNZAPX-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:22.779962+00:00
DMSO	DMSO	True	679	Dimethyl Sulfoxide	CS(=O)C	CS(=O)C	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:21.051388+00:00
Desipramine hydrochloride	Carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone	False	3330	Carbonyl cyanide p-trifluoromethoxyphenylhydrazone	C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F	C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F	BMZRVOVNUMQTIN-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:22.802577+00:00
Doxycycline hyclate	Fluconazole	False	3365	Fluconazole	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	RFHAOTPXVQNOHP-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:23.281783+00:00
Dyclonine hydrochloride	Geneticin	False	123865	Geneticin	C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O	CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O	BRZYSWJRSDMWLG-DJWUNRQOSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:24.345294+00:00
EDTA	Geldanamycin	False	5288382	Geldanamycin	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	QTQAWLPCGQOSGP-KSRBKZBZSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:24.658833+00:00
Emodin	Hydrogen peroxide	False	784	Hydrogen Peroxide	OO	OO	MHAJPDPJQMAIIY-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:24.676969+00:00
FCCP	Haloperidol	False	3559	Haloperidol	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	LNEPOXFFQSENCJ-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:25.558614+00:00
Fluconazole	Harmine hydrochloride	False	5359389	Harmine Hydrochloride	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl	VNPLYCKZIUTKJM-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:25.558614+00:00
G418	Hoechst 33258	False	2392	Bisbenzimidazole	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O	INAAIJLSXJJHOZ-UHFFFAOYSA-N	resolved		PubChem PUG REST (exact supplied name; parent/base selected)	2026-08-13T15:00:00+00:00
Geldanamycin	Hydroxyurea	False	3657	Hydroxyurea	C(=O)(N)NO	C(=O)(N)NO	VSNHCAURESNICA-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:25.903305+00:00
H2O2	Hygromycin B	False	56928061	Hygromycin B	CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)[C@H](CO)N)O)O)O)O)N	CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N	GRRNUXAQVGOGFE-HUCHGKBZSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:26.162696+00:00
Haloperidol	LY294002 hydrochloride	False	11957589	2-Morpholin-4-yl-8-phenylchromen-4-one;hydrochloride	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl	OQZQSRICUOWBLW-UHFFFAOYSA-N	resolved		PubChem PUG REST (exact supplied salt)	2026-08-13T15:00:00+00:00
Harmine hydrochloride	Methyl methanesulfonate	False	4156	Methyl Methanesulfonate	COS(=O)(=O)C	COS(=O)(=O)C	MBABOKRGFJTBAE-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:26.789465+00:00
Hoechst 33258	NaCl	False	5234	Sodium Chloride	[Na+].[Cl-]	[Na+].[Cl-]	FAPWRFPIFSIZLT-UHFFFAOYSA-M	resolved		PubChem PUG REST	2026-08-09T15:09:27.163626+00:00
Hydroxyurea	Neomycin B	False	8378	Neomycin	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N	PGBHMTALBVVCIT-VCIWKGPPSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:27.587271+00:00
Hygromycin B	Nigericin	False	34230	Nigericin	C[C@H]1CC[C@@H](O[C@H]1[C@@H](C)C(=O)O)C[C@@H]2C[C@H]([C@H]([C@@]3(O2)[C@@H](C[C@@](O3)(C)[C@H]4CC[C@@](O4)(C)[C@H]5[C@H](C[C@@H](O5)[C@@H]6[C@H](C[C@H]([C@@](O6)(CO)O)C)C)C)C)C)OC	CC1CCC(OC1C(C)C(=O)O)CC2CC(C(C3(O2)C(CC(O3)(C)C4CCC(O4)(C)C5C(CC(O5)C6C(CC(C(O6)(CO)O)C)C)C)C)C)OC	DANUORFCFTYTSZ-SJSJOXFOSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:27.587851+00:00
LY 294002 hydrochloride	Nocodazole	False	4122	Nocodazole	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3	KYRVNWMVYQXFEU-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:27.670040+00:00
MMS	Nystatin dihydrate	False	154809619	Nystatin dihydrate	C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC2CC3C(C(CC(O3)(CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)O)C(=O)O)O)N)O.O.O	CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O.O.O	VXWFKTGGEJLHPP-LYAKXBBJSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:28.341991+00:00
NaCl	Oligomycin A	False	52947716	Oligomycin A	CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C	CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C	MNULEGDCPYONBU-AWJDAWNUSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:28.617905+00:00
Neomycin B	Parthenolide	False	6473881	Parthenolide	C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C	KTEXNACQROZXEV-SLXBATTESA-N	resolved		PubChem PUG REST	2026-08-09T15:09:28.632396+00:00
Nigericin	Pentamidine isethionate	False	8813	Pentamidine Isethionate	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O	YBVNFKZSMZGRAD-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:28.747856+00:00
Nocodazole	Plumbagin	False	10205	Plumbagin	CC1=CC(=O)C2=C(C1=O)C=CC=C2O	CC1=CC(=O)C2=C(C1=O)C=CC=C2O	VCMMXZQDRFWYSE-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:29.848890+00:00
Nystatin dihydrate	Raloxifene hydrochloride	False	54900	Raloxifene Hydrochloride	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl	C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl	BKXVVCILCIUCLG-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:30.037566+00:00
Oligomycin	Rapamycin	False	5284616	Sirolimus	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC	QFJCIRLUMZQUOT-HPLJOQBZSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:30.230136+00:00
Parthenolide	Sodium dodecyl sulfate	False	3423265	Sodium Lauryl Sulfate	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]	DBMJMQXJHONAFJ-UHFFFAOYSA-M	resolved		PubChem PUG REST	2026-08-09T15:09:30.316362+00:00
Pentamidine isethionate	Sorbitol	False	5780	Sorbitol	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	C(C(C(C(C(CO)O)O)O)O)O	FBPFZTCFMRRESA-JGWLITMVSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:30.497378+00:00
Plumbagin	Staurosporine	False	44259	Staurosporine	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC	HKSZLNNOFSGOKW-FYTWVXJKSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:30.515512+00:00
Quality Control	Quality Control	True						unresolved	HTTPError: HTTP Error 404: PUGREST.NotFound	PubChem PUG REST	2026-08-09T15:09:30.011268+00:00
Raloxifene hydrochloride	Sulfometuron methyl	False	52997	Sulfometuron-methyl	CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C	CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C	ZDXMLEQEMNLCQG-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:31.704852+00:00
Rapamycin	Tamoxifen	False	2733526	Tamoxifen	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	NKANXQFJJICGDU-QPLCGJKRSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:31.709125+00:00
SDS	Trichostatin A	False	444732	Trichostatin A	C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C	CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C	RTKIYFITIVXBLE-QEQCGCAPSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:31.744812+00:00
Sorbitol	Trifluoperazine dihydrochloride	False	66064	Trifluoperazine Hydrochloride	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl	BXDAOUXDMHXPDI-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.017571+00:00
Staurosporine	Tunicamycin A1	False	56927832	Tunicamycin A1	CC(C)CCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)C[C@H]([C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O)O)O)O	CC(C)CCCCCCCCC=CC(=O)NC1C(C(C(OC1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CC(C3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O)O	YJQCOFNZVFGCAF-LLXUUZRASA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.031660+00:00
Sulfometuron methyl	U73122	False	104794	1-(6-(((17beta)-3-Methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC	CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC	LUFAORPFSVMJIW-ZRJUGLEFSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.276125+00:00
Tamoxifen	Valinomycin	False	3000706	Valinomycin	C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C	CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C	FCFNRCROJUBPLU-DNDCDFAISA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.373946+00:00
Trichostatin A	Wortmannin	False	312145	Wortmannin	CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C	CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C	QDLHCMPXEPAAMD-QAIWCSMKSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.849424+00:00
Trifluoperazine dihydrochloride	L-menthol	False	16666	(-)-Menthol	C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C	CC1CCC(C(C1)O)C(C)C	NOOLISFMXDJSKH-KXUCPTDWSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.037032+00:00
Tunicamycin	(S)-(+)-Camptothecin	False	24360	Camptothecin	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	VSJKWCGYPAHWDS-FQEVSTJZSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.039969+00:00
U-73122	1,10-Phenanthroline monohydrate	False	21226	1,10-Phenanthroline hydrate	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O	C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O	PPQJCISYYXZCAE-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.040980+00:00
Valinomycin	4-Hydroxytamoxifen	False	449459	4-Hydroxytamoxifen	CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	TXUZVZSFRXZGTL-QPLCGJKRSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.042435+00:00
Water	Water	True	962	Water	O	O	XLYOFNOQVPJJNP-UHFFFAOYSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:32.835101+00:00
Wortmannin	Abietic acid	False	10569	Abietic Acid	CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C	CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C	RSWGJHLUYNHPMX-ONCXSQPRSA-N	resolved		PubChem PUG REST	2026-08-09T15:09:17.046105+00:00
