raw_name	canonical_id	canonical_name	query_name	role	is_control	is_quality_control	mapping_status	evidence_tier	pubchem_cid	inchikey	isomeric_smiles	canonical_smiles	formulation_class	proxy_target	source_url	source_version	retrieved_utc	notes	identity_review_outcome	secondary_source	secondary_id	secondary_name	secondary_inchikey	secondary_source_url	secondary_review_notes	evidence_snapshot_path	evidence_snapshot_sha256	source_snapshot_sha256
CHX	pubchem:6197	Cycloheximide	Cycloheximide	train	False	False	high_confidence_candidate	C_database_lookup	6197	YPHMISFOHDHNIV-FSZOTQKASA-N	C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C	CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/6197	PubChem PUG REST	2026-08-09T15:09:20.204170+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Cisplatin	pubchem:5702198	azane;dichloroplatinum	Cisplatin	train	False	False	high_confidence_candidate	C_database_lookup	5702198	LXZZYRPGZAFOLE-UHFFFAOYSA-L	N.N.Cl[Pt]Cl	N.N.Cl[Pt]Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5702198	PubChem PUG REST	2026-08-09T15:09:20.571566+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Clomiphene citrate	pubchem:60974	Clostilbegit	Clomiphene citrate	train	False	False	high_confidence_candidate	C_database_lookup	60974	PYTMYKVIJXPNBD-UHFFFAOYSA-N	CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/60974	PubChem PUG REST	2026-08-09T15:09:20.798829+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Clotrimazole	pubchem:2812	Clotrimazole	Clotrimazole	train	False	False	high_confidence_candidate	C_database_lookup	2812	VNFPBHJOKIVQEB-UHFFFAOYSA-N	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/2812	PubChem PUG REST	2026-08-09T15:09:20.853052+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Cyclopiazonic acid	pubchem:54682463	Cyclopiazonic acid	Cyclopiazonic acid	train	False	False	high_confidence_candidate	C_database_lookup	54682463	SZINUGQCTHLQAZ-DQYPLSBCSA-N	CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O	CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/54682463	PubChem PUG REST	2026-08-13											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
DMSO	pubchem:679	Dimethyl Sulfoxide	DMSO	train	True	False	high_confidence_candidate	C_database_lookup	679	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	CS(=O)C	CS(=O)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/679	PubChem PUG REST	2026-08-09T15:09:21.051388+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Desipramine hydrochloride	pubchem:65327	Desipramine Hydrochloride	Desipramine hydrochloride	train	False	False	high_confidence_candidate	C_database_lookup	65327	XAEWZDYWZHIUCT-UHFFFAOYSA-N	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/65327	PubChem PUG REST	2026-08-09T15:09:22.309000+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Doxycycline hyclate	pubchem:54705095	Doxycycline hyclate	Doxycycline hyclate	test	False	False	high_confidence_candidate	C_database_lookup	54705095	DWBSXBGBGHKWOT-WBYAVNBMSA-N	CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl	CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/54705095	PubChem PUG REST (exact formulation)	2026-08-13T13:21:00+00:00		formulation_representation_conflict	ChEBI	CHEBI:34730	doxycycline hyclate	HALQELOKLVRWRI-VDBOFHIQSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:34730/	ChEBI and ChEMBL represent hyclate as two doxycycline molecules plus ethanol water and two chlorides; selected PubChem CID 54705095 uses a one-molecule formula unit. Components agree but exact InChIKey does not, so promotion remains blocked.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_doxycycline_hyclate.json	4d74a0e89d32a8dda2b26bdb223fb5bc57d66e9fcfe14d19e489cd730e4fe1f7	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Dyclonine hydrochloride	pubchem:68304	Dyclonine Hydrochloride	Dyclonine hydrochloride	train	False	False	high_confidence_candidate	C_database_lookup	68304	KNZADIMHVBBPOA-UHFFFAOYSA-N	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/68304	PubChem PUG REST	2026-08-09T15:09:22.355010+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
EDTA	pubchem:6049	Ethylenediaminetetraacetic Acid	EDTA	train	False	False	high_confidence_candidate	C_database_lookup	6049	KCXVZYZYPLLWCC-UHFFFAOYSA-N	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/6049	PubChem PUG REST	2026-08-09T15:09:22.434961+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Emodin	pubchem:3220	Emodin	Emodin	train	False	False	high_confidence_candidate	C_database_lookup	3220	RHMXXJGYXNZAPX-UHFFFAOYSA-N	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/3220	PubChem PUG REST	2026-08-09T15:09:22.779962+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
FCCP	pubchem:3330	Carbonyl cyanide p-trifluoromethoxyphenylhydrazone	Carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone	val	False	False	high_confidence_candidate	C_database_lookup	3330	BMZRVOVNUMQTIN-UHFFFAOYSA-N	C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F	C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/3330	PubChem PUG REST	2026-08-09T15:09:22.802577+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Fluconazole	pubchem:3365	Fluconazole	Fluconazole	test	False	False	verified	A_verified	3365	RFHAOTPXVQNOHP-UHFFFAOYSA-N	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/3365	PubChem PUG REST	2026-08-09T15:09:23.281783+00:00		exact_name_and_inchikey_match	ChEBI	CHEBI:46081	fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:46081/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_fluconazole.json	4f801b643ec136d521b278d67a07ffb6a382660111d0155b3b95fd1bb947c786	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
G418	pubchem:123865	Geneticin	Geneticin	test	False	False	high_confidence_candidate	C_database_lookup	123865	BRZYSWJRSDMWLG-DJWUNRQOSA-N	C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O	CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/123865	PubChem PUG REST	2026-08-09T15:09:24.345294+00:00		stereochemistry_conflict	ChEBI	CHEBI:42768	geneticin	BRZYSWJRSDMWLG-CAXSIQPQSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:42768/	ChEMBL CHEMBL215226 matches the selected PubChem InChIKey BRZYSWJRSDMWLG-DJWUNRQOSA-N, but three-star ChEBI geneticin has a different stereochemical InChIKey. Keep candidate until the supplied reagent identity is confirmed.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_g418.json	e6b80581fd97bec7d406ed23cce316269aca69c3854be312b1ec75289b5fce4b	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Geldanamycin	pubchem:5288382	Geldanamycin	Geldanamycin	train	False	False	high_confidence_candidate	C_database_lookup	5288382	QTQAWLPCGQOSGP-KSRBKZBZSA-N	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5288382	PubChem PUG REST	2026-08-09T15:09:24.658833+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
H2O2	pubchem:784	Hydrogen Peroxide	Hydrogen peroxide	test	False	False	verified	A_verified	784	MHAJPDPJQMAIIY-UHFFFAOYSA-N	OO	OO	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/784	PubChem PUG REST	2026-08-09T15:09:24.676969+00:00		exact_name_and_inchikey_match	ChEBI	CHEBI:16240	hydrogen peroxide	MHAJPDPJQMAIIY-UHFFFAOYSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:16240/	Three-star ChEBI record independently matches the PubChem InChIKey and compound identity.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_hydrogen_peroxide.json	586bd60882312e2a60a9a94cd4bacc8d36eb9e398402f6d1ebde6d3594062dbe	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Haloperidol	pubchem:3559	Haloperidol	Haloperidol	train	False	False	high_confidence_candidate	C_database_lookup	3559	LNEPOXFFQSENCJ-UHFFFAOYSA-N	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/3559	PubChem PUG REST	2026-08-09T15:09:25.558614+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Harmine hydrochloride	pubchem:5359389	Harmine Hydrochloride	Harmine hydrochloride	train	False	False	high_confidence_candidate	C_database_lookup	5359389	VNPLYCKZIUTKJM-UHFFFAOYSA-N	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5359389	PubChem PUG REST	2026-08-09T15:09:25.558614+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Hoechst 33258	goai-chemical:hoechst-33258	Hoechst 33258	Hoechst 33258	train	False	False	proxy	D_proxy_assumption	2392	INAAIJLSXJJHOZ-UHFFFAOYSA-N	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O	formulation_unspecified_parent_normalized	pubchem:2392	https://pubchem.ncbi.nlm.nih.gov/compound/2392	PubChem PUG REST (exact supplied name; parent/base selected)	2026-08-13T15:00:00+00:00		formulation_unspecified_parent_normalized	ChEBI	CHEBI:52082	pibenzimol	INAAIJLSXJJHOZ-UHFFFAOYSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:52082/	ChEBI and ChEMBL CHEMBL301735 identify the Hoechst 33258 base. PubChem also lists hydrochloride trihydrochloride and hydrated forms; the competition label omits formulation, so the base is an explicit proxy. Prior CID 1464 was the ethoxy analogue and is rejected.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_hoechst_33258.json	a02adfce0d99cfa2869382fe5c94776e733d257d50e0ad6ab3e57bd9f1cf5e4f	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Hydroxyurea	pubchem:3657	Hydroxyurea	Hydroxyurea	val	False	False	high_confidence_candidate	C_database_lookup	3657	VSNHCAURESNICA-UHFFFAOYSA-N	C(=O)(N)NO	C(=O)(N)NO	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/3657	PubChem PUG REST	2026-08-09T15:09:25.903305+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Hygromycin B	pubchem:56928061	Hygromycin B	Hygromycin B	test	False	False	high_confidence_candidate	C_database_lookup	56928061	GRRNUXAQVGOGFE-HUCHGKBZSA-N	CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)[C@H](CO)N)O)O)O)O)N	CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/56928061	PubChem PUG REST	2026-08-09T15:09:26.162696+00:00		stereochemistry_conflict	ChEBI	CHEBI:16976	hygromycin B	GRRNUXAQVGOGFE-NZSRVPFOSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:16976/	The selected PubChem key GRRNUXAQVGOGFE-HUCHGKBZSA-N appears in ChEMBL CHEMBL5308478 without an identifying synonym; three-star ChEBI hygromycin B has a different stereochemical key. Promotion remains blocked.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_hygromycin_b.json	4093d5138b84d88f5fc2514a74be53ba8c05bebb3a5bb63373311eb5d55bd1af	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
LY 294002 hydrochloride	pubchem:11957589	2-Morpholin-4-yl-8-phenylchromen-4-one;hydrochloride	LY294002 hydrochloride	train	False	False	high_confidence_candidate	C_database_lookup	11957589	OQZQSRICUOWBLW-UHFFFAOYSA-N	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/11957589	PubChem PUG REST (exact supplied salt)	2026-08-13T15:00:00+00:00		exact_primary_salt_no_independent_salt_record	ChEBI	CHEBI:65329	LY294002	CZQHHVNHHHRRDU-UHFFFAOYSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:65329/	PubChem exact-name lookup resolves the hydrochloride to CID 11957589; ChEBI and ChEMBL independently confirm only the parent LY294002 core. The exact salt is no longer replaced by its parent, but remains a candidate.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_ly294002.json	16cd890c683c0c835ea6bd7cc49dda29406a595a3bbe6e0ccf714416f6020daf	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
MMS	pubchem:4156	Methyl Methanesulfonate	Methyl methanesulfonate	test	False	False	verified	A_verified	4156	MBABOKRGFJTBAE-UHFFFAOYSA-N	COS(=O)(=O)C	COS(=O)(=O)C	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/4156	PubChem PUG REST	2026-08-09T15:09:26.789465+00:00		exact_name_and_inchikey_match	ChEBI	CHEBI:25255	methyl methanesulfonate	MBABOKRGFJTBAE-UHFFFAOYSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:25255/	Three-star ChEBI record independently matches the PubChem InChIKey and expanded MMS identity.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_methyl_methanesulfonate.json	13f6cf38d40048829816db785ce7fa273caf367a7813912227fc7dcff7bf73cd	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
NaCl	pubchem:5234	Sodium Chloride	NaCl	train	False	False	high_confidence_candidate	C_database_lookup	5234	FAPWRFPIFSIZLT-UHFFFAOYSA-M	[Na+].[Cl-]	[Na+].[Cl-]	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/5234	PubChem PUG REST	2026-08-09T15:09:27.163626+00:00											928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
Neomycin B	pubchem:8378	Neomycin	Neomycin B	test	False	False	verified	A_verified	8378	PGBHMTALBVVCIT-VCIWKGPPSA-N	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N	exact_database_candidate		https://pubchem.ncbi.nlm.nih.gov/compound/8378	PubChem PUG REST	2026-08-09T15:09:27.587271+00:00		exact_alias_and_inchikey_match	ChEBI	CHEBI:7508	framycetin	PGBHMTALBVVCIT-VCIWKGPPSA-N	https://www.ebi.ac.uk/chebi/backend/api/public/compound/CHEBI:7508/	ChEBI InChIKey matches PubChem; ChEMBL CHEMBL184618 independently lists Neomycin B as USP and Merck Index synonyms of framycetin.	/home/chenyuming/Project/go-ai/resources/entities/evidence/chemical_second_source_20260813/chebi_search_neomycin_b.json	40be0066f40cd385fc43350e87c4ed6aaa555ed34a667b932ac3f8bce3431af2	928ebf5698b42c873a092672613d224aace4f94c4268b103220a13d6043e6b78
